id,name,archetype,cost,hp,dmg,period,speed,range,count,air,targets_air,bldg_only,splash,is_spell,effect,duration,decay,aura_type,aura_power,aura_radius,hit_effect,hit_dur,suicide,death_dmg,death_r,anywhere,tower_pct,cr_ref,kb,col_r,mass,jumps,spell_delay,no_tower,charge,hook,spawn_type
17,Cloudcalf,wincon,7,3811,54,6,38,3.5,1,1,1,1,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Lava Hound,0.0,0.75,5,0,0,0,0,0,-1
18,Stormkite,wincon,5,1680,640,10,51,0.1,1,1,0,1,0.0,0,0,0,0,0,0,0.0,0,0,0,800,2.0,0,100,Balloon,0.0,0.5,6,0,0,0,0,0,-1
19,Whirligig,support,4,614,171,6,77,6.0,1,1,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Flying Machine,0.0,0.5,3,0,0,0,0,0,-1
20,Emberwitch,splash,5,720,281,7,51,5.5,1,0,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Wizard,0.0,0.5,5,0,0,0,0,0,-1
21,Cinderpup,splash,2,332,222,9,51,4.5,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Bomber,0.0,0.5,4,0,0,0,0,0,-1
22,Headsman,splash,5,1280,169,4,51,4.5,1,0,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Executioner,0.0,0.6,4,0,0,0,0,0,-1
23,Rockhurler,splash,5,2080,288,12,38,4.0,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Bowler,0.0,0.75,18,0,0,0,0,0,-1
24,Sparkmaw,splash,6,1452,1331,20,38,5.0,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Sparky,0.0,1.0,18,0,0,0,0,0,-1
25,Longshot,ranged,4,720,218,5,51,6.0,1,0,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Musketeer,0.0,0.5,5,0,0,0,0,0,-1
26,Hexarcher,ranged,3,304,107,4,51,5.0,2,0,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Archers,0.0,0.5,3,0,0,0,0,0,-1
27,Quillquick,ranged,3,260,131,4,102,6.5,1,0,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Dart Goblin,0.0,0.5,3,0,0,0,0,0,-1
28,Dart Frog,ranged,3,261,154,15,51,9.0,1,0,1,0,2.5,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Princess,0.0,0.5,3,0,0,0,0,0,-1
29,Prismgunner,ranged,4,532,134,6,51,7.0,1,0,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Magic Archer,0.0,0.6,3,0,0,0,0,0,-1
30,Thornsling,cycle,2,133,81,8,102,5.5,3,0,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Spear Goblins,0.0,0.5,1,0,0,0,0,0,-1
31,Flakbot,antiair,4,530,116,10,51,4.5,3,0,1,0,0.0,0,0,0,0,0,0,0.0,3,3,0,0,0.0,0,100,Zappies,0.0,0.6,4,0,0,0,0,0,-1
32,Frostcaller,antiair,3,688,90,8,51,5.5,1,0,1,0,0.0,0,0,0,0,0,0,0.0,1,13,0,0,0.0,0,100,Ice Wizard,0.0,0.5,5,0,0,0,0,0,-1
33,Voltmage,support,4,713,110,9,77,5.0,1,0,1,0,0.0,0,0,0,0,0,0,0.0,3,3,0,0,0.0,0,100,Electro Wizard,0.0,0.5,5,0,0,0,0,0,-1
34,Skewerhulk,antiair,4,1361,720,8,77,0.8,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Mini P.E.K.K.A,0.0,0.45,4,0,0,0,0,0,-1
35,Timberbeast,support,4,1282,242,4,102,0.7,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Lumberjack,0.0,0.5,4,0,0,0,0,0,-1
36,Cindersprite,cycle,1,230,207,2,102,2.0,1,0,1,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,100,Fire Spirit,0.0,0.4,1,0,0,0,0,0,-1
37,Frostsprite,cycle,1,230,110,2,102,2.5,1,0,1,0,1.5,0,0,0,0,0,0,0.0,3,5,1,0,0.0,0,100,Ice Spirit,0.0,0.4,1,0,0,0,0,0,-1
38,Voltsprite,cycle,1,230,99,2,102,2.5,1,0,1,0,0.0,0,0,0,0,0,0,0.0,3,3,1,0,0.0,0,100,Electro Spirit,0.0,0.4,1,0,0,0,0,0,-1
39,Ramhound,wincon,4,1696,318,8,102,0.8,1,0,0,1,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Hog Rider,0.0,0.6,4,1,0,0,0,0,-1
40,Siege Snail,wincon,6,3072,307,8,38,5.0,1,0,0,1,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Royal Giant,0.0,0.75,18,0,0,0,0,0,-1
41,Duneworm,wincon,6,3336,176,8,51,1.2,1,0,0,1,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Goblin Giant,0.0,0.75,18,0,0,0,0,0,-1
42,Boarband,wincon,5,837,74,6,102,0.75,4,0,0,1,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Royal Hogs,0.0,0.6,2,1,0,0,0,0,-1
43,Triplet Muses,ranged,9,720,218,5,51,6.0,3,0,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Three Musketeers,0.0,0.5,5,0,0,0,0,0,-1
44,Wallgnashers,wincon,2,331,392,6,102,0.5,2,0,0,1,1.5,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,100,Wall Breakers,0.0,0.4,4,0,0,0,0,0,-1
45,Burrower,wincon,3,1210,193,6,77,1.2,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,1,100,Miner,0.0,0.5,6,0,0,0,0,0,-1
46,Gravewalker,tank,6,3424,267,7,51,0.8,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,1696,3.0,0,100,Giant Skeleton,0.0,1.0,18,0,0,0,0,0,-1
47,Watchpost,building,3,824,212,4,0,5.5,1,0,0,0,0.0,0,0,0,5,0,0,0.0,0,0,0,0,0.0,0,100,Cannon,0.0,0.7,99,0,0,1,0,0,-1
48,Tesla Bloom,building,4,1152,230,6,0,5.5,1,0,1,0,0.0,0,0,0,8,0,0,0.0,0,0,0,0,0.0,0,100,Tesla,0.0,0.7,99,0,0,1,0,0,-1
49,Boomkiln,building,4,1356,222,8,0,6.0,1,0,0,0,0.0,0,0,0,9,0,0,0.0,0,0,0,0,0.0,0,100,BombTower,0.0,0.7,99,0,0,1,0,0,-1
50,Mortar Crab,building,4,1369,266,25,0,11.5,1,0,0,0,0.0,0,0,0,9,0,0,0.0,0,0,0,0,0.0,0,100,Mortar,0.0,0.7,99,0,0,0,0,0,-1
51,Skystinger,building,6,1600,41,2,0,11.5,1,0,0,0,0.0,0,0,0,11,0,0,0.0,0,0,0,0,0.0,0,100,Xbow,0.0,0.7,99,0,0,0,0,0,-1
52,Fireburst,spell_dmg,4,0,689,0,0,2.5,1,0,1,0,2.5,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,30,Fireball,1.0,0.5,4,0,5,0,0,0,-1
53,Sparkarc,spell_dmg,3,0,366,0,0,1.4,1,0,1,0,1.4,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,30,Arrows,0.0,0.5,4,0,4,0,0,0,-1
54,Stonefall,spell_dmg,6,0,1484,0,0,2.0,1,0,1,0,2.0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,25,Rocket,1.8,0.5,4,0,7,0,0,0,-1
55,Glacierlash,spell_util,2,0,192,0,0,2.5,1,0,1,0,2.5,1,1,13,0,0,0,0.0,0,0,0,0,0.0,0,30,Giant Snowball,1.8,0.5,4,0,5,0,0,0,-1
56,Shockwave,spell_util,2,0,192,0,0,2.5,1,0,1,0,2.5,1,3,3,0,0,0,0.0,0,0,0,0,0.0,0,30,Zap,0.0,0.5,4,0,1,0,0,0,-1
57,Overclock,spell_util,2,0,0,0,0,3.0,1,0,1,0,3.0,1,2,30,0,0,0,0.0,0,0,0,0,0.0,0,30,Rage,0.0,0.5,4,0,1,0,0,0,-1
58,Frostfield,spell_util,4,0,115,0,0,3.0,1,0,1,0,3.0,1,3,20,0,0,0,0.0,0,0,0,0,0.0,0,30,Freeze,0.0,0.5,4,0,1,0,0,0,-1
59,Emberrain,spell_util,6,0,1056,0,0,3.5,1,0,1,0,3.5,1,3,3,0,0,0,0.0,0,0,0,0,0.0,0,30,Lightning,0.0,0.5,4,0,3,0,0,0,-1
60,Lancer,tank,5,1669,325,7,51,1.6,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,100,Prince,0.0,0.6,8,0,0,0,1,0,-1
61,Whirlgale,spell_util,3,0,106,0,0,0,1,0,1,0,3.0,1,4,8,0,0,0.0,0,0,0,0,0,0.0,0,30,Tornado,3.0,0.0,0,0,1,0,0,0,-1
62,Harpooner,support,3,720,160,9,45,4.0,1,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,100,Fisherman,0.0,0.5,4,0,0,0,0,1,-1
63,Timberoll,spell_util,2,0,120,0,0,0,1,0,0,0,1.2,1,0,0,0,0,0.0,0,0,0,0,0,0.0,0,20,The Log,2.5,0.0,0,0,1,0,0,0,-1
64,Marrowkeg,spell_util,3,0,0,0,0,0,3,0,0,0,0.0,1,0,0,0,0,0.0,0,0,0,0,0,0.0,1,100,Goblin Barrel,0.0,0.0,0,0,2,0,0,0,8
65,Brawlkeg,spell_util,2,0,80,0,0,0,1,0,0,0,1.1,1,0,0,0,0,0.0,0,0,0,0,0,0.0,0,20,Barbarian Barrel,2.0,0.0,0,0,1,0,0,0,9
